Price,終値,高値,安値,始値,出来高
Ticker,8308.T,8308.T,8308.T,8308.T,8308.T
Date,,,,,
2020-09-09,322.4483947753906,323.036201578725,318.24984796841943,322.4483947753906,13418500
2020-09-10,327.15081787109375,327.15081787109375,319.08960175422806,322.53241574044046,8503300
2020-09-11,326.6470031738281,327.2348100879974,321.44079390115996,322.3644794980399,9563100
2020-09-14,330.6775817871094,331.09743652560286,324.21183418984947,327.48669602491873,9695300
2020-09-15,334.456298828125,334.87615359724185,327.99055075926634,329.9218724468433,10507000
2020-09-16,328.326416015625,332.6089396105741,326.8149491590078,331.4333514303274,10151400
2020-09-17,328.9981689453125,330.92951615380315,327.65465425789296,330.8455400793644,7392900
2020-09-18,330.76153564453125,332.52493055294616,327.31872189493987,328.99814073611634,9980000
2020-09-23,325.55535888671875,327.0668256225483,322.5323997891612,325.8072614673909,12276200
2020-09-24,322.8683166503906,325.30346918005074,321.4408001885719,325.1355426483612,9422500
2020-09-25,323.7080078125,324.96757204523345,322.5324196537954,324.71566944904674,8391000
2020-09-28,324.8835754394531,326.05916352386373,321.18885904877754,324.71564892790775,15283600
2020-09-29,323.58892822265625,329.4582551707166,323.0710425594805,328.9403695075408,9609200
2020-09-30,308.6567077636719,320.99951279136747,308.5703890999679,320.99951279136747,13177600
2020-10-02,305.03155517578125,312.9723986381864,303.9094914942665,312.36819429228785,10345400
2020-10-05,310.1240234375,314.4396932673609,308.5703928350534,312.45449568192817,7573700
2020-10-06,316.85650634765625,317.8922513748412,310.81456816308383,310.9008868338726,10454700
2020-10-07,317.8059387207031,318.06486837575045,312.36817889788387,314.1807655054903,6069800
2020-10-08,316.5112609863281,318.84170707501363,315.6481269518312,317.9785730405167,5849100
2020-10-09,311.0734558105469,316.25225926912674,309.8650736050295,315.90701097337273,8490900
2020-10-12,310.1240234375,310.2103421022489,303.99579335170415,308.39775550555566,5756400
2020-10-13,312.2818603515625,313.31763165366306,309.6924584370694,312.109249361718,5107500
2020-10-14,305.7220764160156,308.13884110405735,304.2547380649306,305.3768017399301,8162700
2020-10-15,305.98095703125,307.4482951471096,303.0463071402861,304.772574880942,6207700
2020-10-16,304.6862487792969,307.4482876331448,304.3410005077546,305.7220199346785,4371200
2020-10-19,306.4988708496094,308.91563537280524,304.7726029499673,305.722055562922,4297400
2020-10-20,303.3916015625,306.0673222356128,302.52846756089974,305.46311789818884,4876100
2020-10-21,308.052490234375,308.052490234375,302.1831901250706,302.1831901250706,7378500
2020-10-22,304.8589172363281,308.0524970003621,303.82314597511004,306.4125477873979,6187000
2020-10-23,307.36199951171875,310.4692869457698,304.5999603835051,308.6567004141769,7638900
2020-10-26,306.7578430175781,307.96622544666843,304.94525620356194,306.23995730775044,5519700
2020-10-27,302.9599914550781,306.15359734290115,301.06108638543924,305.2041448080817,7508300
2020-10-28,294.24237060546875,298.38542954337487,292.3434916404258,296.05495724450526,9318100
2020-10-29,295.278076171875,297.176954714071,289.32245826190314,290.0129547607466,7728400
2020-10-30,295.62335205078125,298.7306392674953,293.4655173642792,297.2633011443717,10184100
2020-11-02,305.6357421875,306.3262388229998,299.85273408734577,300.3706197343497,9893200
2020-11-04,308.8292541503906,314.61226097903597,308.6566431998467,313.7491272040592,11444500
2020-11-05,300.0253601074219,305.46309334409773,298.0401362588642,305.46309334409773,13355100
2020-11-06,305.5494384765625,306.41257248355845,297.4359840789526,298.90329608638996,9878600
2020-11-09,304.4273376464844,305.6357198406361,300.4569164307663,303.13263679401695,6801300
2020-11-10,318.49639892578125,319.7047810790288,302.87367056669075,316.42488290010607,28098600
2020-11-11,332.7381286621094,334.9822821391362,327.99089206641133,329.0266633145028,24219700
2020-11-12,328.5950927734375,329.71715632935513,325.2288494241712,325.83305370243863,12399700
2020-11-13,320.30902099609375,326.95513674945374,317.71961909045154,323.93416785953787,10595900
2020-11-16,326.86883544921875,331.27079749532373,324.6246819244694,324.79729290898393,11274800
2020-11-17,333.946533203125,333.946533203125,328.68141063160084,331.18452025827014,11118600
2020-11-18,329.7171936035156,334.0328636768601,329.11298925694354,333.51497799990676,8269200
2020-11-19,330.58026123046875,331.70232468789965,327.3003631697058,329.5444900845676,8602000
2020-11-20,330.7529296875,331.8749932506141,326.69618971484385,327.9908905987864,7396900
2020-11-24,334.9822692871094,339.98843533238374,334.11913539373404,337.65798962472405,11683900
2020-11-25,334.0328063964844,341.7146925415858,333.08335387501,341.11051463937866,11961400
2020-11-26,334.2054748535156,334.89597147489275,327.3004032767137,330.235053428703,8591400
2020-11-27,331.7886962890625,334.119168568874,329.8034986734888,333.7739202453949,10379600
2020-11-30,315.6481018066406,328.76772228140123,313.83551521043944,328.6814036166758,23211100
2020-12-01,316.5112609863281,319.9637971243159,312.7134501619334,315.38917093702594,9715400
