Price,終値,高値,安値,始値,出来高
Ticker,8411.T,8411.T,8411.T,8411.T,8411.T
Date,,,,,
2020-09-07,1142.013427734375,1157.985643506884,1137.2217630026225,1149.9995356206293,6808090
2020-09-08,1142.81201171875,1144.4092332585385,1130.034239400441,1143.6106224886444,7380130
2020-09-09,1110.0689697265625,1119.652298961612,1096.4925866435758,1118.8536881920245,16876300
2020-09-10,1126.840087890625,1128.4373098436947,1106.8748134772545,1114.062312266068,7483220
2020-09-11,1130.8331298828125,1136.423406654832,1116.458132469048,1120.4511873062047,9423080
2020-09-14,1129.23583984375,1138.8191708749557,1126.0413961666814,1135.624727197887,6717430
2020-09-15,1126.04150390625,1126.04150390625,1114.0623389710772,1126.04150390625,6793910
2020-09-16,1110.0689697265625,1114.8606343440872,1104.4786943394504,1108.4717481873877,9059010
2020-09-17,1117.2564697265625,1120.4509128137006,1110.867583552286,1118.055080498347,7804000
2020-09-18,1114.8607177734375,1123.645436896294,1109.2704419679833,1118.0551610908399,9239800
2020-09-23,1106.8746337890625,1118.0551856455177,1098.0899144732762,1118.0551856455177,8165590
2020-09-24,1096.4927978515625,1104.4789070857328,1091.7011323110605,1103.6802961623157,8395200
2020-09-25,1106.076171875,1106.076171875,1095.694229467509,1095.694229467509,7410750
2020-09-28,1119.6524658203125,1119.6524658203125,1094.0969173850415,1094.0969173850415,999651
2020-09-29,1117.6009521484375,1140.166316453931,1111.036482532294,1124.57570111559,8978400
2020-09-30,1075.34228515625,1113.0879891754698,1074.9320057647367,1112.2674303924432,10816100
2020-10-02,1079.0347900390625,1102.4207151463731,1072.8805992213493,1096.2665243286597,10083400
2020-10-05,1100.3695068359375,1110.2162138322324,1089.291961465106,1090.9330792978217,7013100
2020-10-06,1094.215087890625,1115.959894661605,1087.6506179220273,1106.933748454783,9541400
2020-10-07,1101.60009765625,1102.4206563882099,1079.445011893331,1085.5992023830308,7680800
2020-10-08,1104.0618896484375,1111.8571984196453,1093.804904423164,1101.600213194372,6332400
2020-10-09,1092.1634521484375,1103.2409927975764,1090.1120557319302,1102.830713514275,4386600
2020-10-12,1088.06103515625,1088.06103515625,1078.624608380762,1081.906843780932,4533600
2020-10-13,1091.34326171875,1093.3946588272438,1079.8554379111843,1091.34326171875,4799400
2020-10-14,1068.77783203125,1070.0086702255278,1058.9311264770274,1070.0086702255278,8130900
2020-10-15,1063.444091796875,1064.6749298660843,1054.4179459560064,1055.6487840252157,6495700
2020-10-16,1063.444091796875,1073.2907963505497,1063.444091796875,1066.7263266481,4855300
2020-10-19,1071.649658203125,1078.2141277786418,1065.0851886276082,1066.3160266730176,4485400
2020-10-20,1057.2900390625,1069.1881419467888,1054.0078037840756,1066.3161860781674,5176500
2020-10-21,1076.5731201171875,1077.803958288053,1065.0852971891077,1066.726414750262,6447800
2020-10-22,1074.521728515625,1081.4964781852568,1072.4703315539687,1074.9320079079562,4568800
2020-10-23,1084.778564453125,1088.0607991413342,1072.4701843723406,1083.1374471090203,5989300
2020-10-26,1075.7525634765625,1084.3684306897615,1071.6497695655153,1082.3170337342378,4723000
2020-10-27,1067.546875,1075.342182696003,1065.4954782378938,1069.1879924096847,5807200
2020-10-28,1042.93017578125,1053.1871602008139,1033.904029492034,1050.315204563336,8790300
2020-10-29,1051.5460205078125,1058.9310491340866,1030.621772733369,1032.2628902058743,6017800
2020-10-30,1051.5460205078125,1061.803004710971,1048.6740649309281,1054.8282554528232,7048400
2020-11-02,1087.240478515625,1089.7021550707545,1060.162036409198,1060.572315835053,9473300
