Price,終値,高値,安値,始値,出来高
Ticker,8411.T,8411.T,8411.T,8411.T,8411.T
Date,,,,,
2020-09-09,1110.069091796875,1119.6524220857689,1096.492707220942,1118.853811228361,16876300
2020-09-10,1126.83984375,1128.4370653570163,1106.8745736622964,1114.0620708938695,7483220
2020-09-11,1130.8331298828125,1136.423406654832,1116.458132469048,1120.4511873062047,9423080
2020-09-14,1129.23583984375,1138.8191708749557,1126.0413961666814,1135.624727197887,6717430
2020-09-15,1126.0413818359375,1126.0413818359375,1114.062218199385,1126.0413818359375,6793910
2020-09-16,1110.069091796875,1114.860756941322,1104.4788157950202,1108.4718700820595,9059010
2020-09-17,1117.2564697265625,1120.4509128137006,1110.867583552286,1118.055080498347,7804000
2020-09-18,1114.86083984375,1123.6455599284786,1109.2705634261954,1118.055283510924,9239800
2020-09-23,1106.874755859375,1118.0553089488635,1098.0900355747767,1118.0553089488635,8165590
2020-09-24,1096.49267578125,1104.4787841263428,1091.7010107741944,1103.6801732918336,8395200
2020-09-25,1106.0760498046875,1106.0760498046875,1095.6941085429828,1095.6941085429828,7410750
2020-09-28,1119.65234375,1119.65234375,1094.0967981009271,1094.0967981009271,999651
2020-09-29,1117.60107421875,1140.1664409889524,1111.0366038856002,1124.5758239477216,8978400
2020-09-30,1075.3421630859375,1113.0878628203543,1074.9318837409983,1112.2673041304756,10816100
2020-10-02,1079.0350341796875,1102.4209645782587,1072.8808419695372,1096.2667723681084,10083400
2020-10-05,1100.369384765625,1110.2160906695678,1089.291840623689,1090.9329582743462,7013100
2020-10-06,1094.2152099609375,1115.9600191577615,1087.6507392600095,1106.9338719439854,9541400
2020-10-07,1101.60009765625,1102.4206563882099,1079.445011893331,1085.5992023830308,7680800
2020-10-08,1104.061767578125,1111.8570754874465,1093.8047834869124,1101.600091396234,6332400
2020-10-09,1092.163818359375,1103.2413627228998,1090.1124212550185,1102.8310833020284,4386600
2020-10-12,1088.0609130859375,1088.0609130859375,1078.624487369129,1081.9067224010623,4533600
2020-10-13,1091.3431396484375,1093.3945365274758,1079.8553171258222,1091.3431396484375,4799400
2020-10-14,1068.77783203125,1070.0086702255278,1058.9311264770274,1070.0086702255278,8130900
2020-10-15,1063.444091796875,1064.6749298660843,1054.4179459560064,1055.6487840252157,6495700
2020-10-16,1063.444091796875,1073.2907963505497,1063.444091796875,1066.7263266481,4855300
2020-10-19,1071.6500244140625,1078.2144962328316,1065.0855525952934,1066.3163910613125,4485400
2020-10-20,1057.2900390625,1069.1881419467888,1054.0078037840756,1066.3161860781674,5176500
2020-10-21,1076.5732421875,1077.8040804979278,1065.0854179568407,1066.7265357040776,6447800
2020-10-22,1074.5218505859375,1081.4966010479309,1072.4704533912334,1074.9321300248782,4568800
2020-10-23,1084.7786865234375,1088.060921580997,1072.470305057589,1083.1375689946576,5989300
2020-10-26,1075.7525634765625,1084.3684306897615,1071.6497695655153,1082.3170337342378,4723000
2020-10-27,1067.547119140625,1075.3424286193613,1065.4957219093787,1069.1882369256223,5807200
2020-10-28,1042.9302978515625,1053.1872834716605,1033.9041505058763,1050.315327498033,8790300
2020-10-29,1051.54638671875,1058.931417916931,1030.6221316572376,1032.2632497012778,6017800
2020-10-30,1051.54638671875,1061.8033744940012,1048.6744301416797,1054.8286228068305,7048400
2020-11-02,1087.240478515625,1089.7021550707545,1060.162036409198,1060.572315835053,9473300
2020-11-04,1100.369384765625,1124.1655907001536,1099.5488259402964,1115.960002446868,9467000
